Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Losing Interest - Original Mix,Losing Interest (Original),Goovex,2024-06-10,126,136.4,126247886,5,5973,1.0,0,0,0,0,0
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,127,136.2,1607421145,212406,160444270,83.0,409785349,3326477,247865,155593087,1825552705
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,2023-08-10,128,136.2,438796949,23959,34805394,78.0,509727241,2202866,1223804,46080266,782582119
Drained of Color,Drained of Color,Exhumed,2022-08-30,129,134.0,158627,635,18765,16.0,2156140830,0,9,422,4484
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,130,133.0,1867736006,302486,82611625,76.0,747126783,10795292,2467227,160756733,1768836179
Dynamite,Dynamite,BTS,2020-08-21,131,132.3,1872577908,144619,51186002,74.0,2638957320,62311179,3098499,662794945,5063720138
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,2023-12-10,132,130.7,8327,3,8,63.50158061116965,0,0,4200000,3646489,73318253
Someone You Loved,Breach,Lewis Capaldi,2018-11-08,133,129.7,3427498835,338763,160553919,82.0,2153701892,20891433,1940473,212007614,2161032034
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,2023-05-11,134,129.6,230849195,23091,12233221,64.0,363082908,5135848,4897595,104580759,1551501289
Made You Look,Takin' It Back,Meghan Trainor,2022-10-21,135,129.5,720720922,74295,89509926,77.0,221078988,2557839,4687520,1252326407,15247253457
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,2023-06-22,136,129.4,1378494,351,43395,34.0,1022331,22739,7702832,90289248,1272592848
